          С П Р А В К А    Н А Л И Ч Н О С Т И    К Ъ М    Д А Т А   30.09.2014

 
 Обект        : СКЛАД СЕЛЕКТ                                      
 Група стоки  : ЕЛ. МАТЕРИАЛИ                 
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Катал. Nо | Артикул         | Колич-во |Ц прид.|П.ц+ДДС|П.ц-ДДС| Ст-ст прид.| Прод.ст+ДДС| Прод.ст-ДДС|
 |2253000013|Филтър носач     |      1.00|   1.45|  13.00|   0.00|        1.45|       13.00|        0.00|
 |2699006933|Филтър           |     63.00|   0.37|   1.90|   1.10|       23.40|      119.70|       69.30|
 |          |прахосмукачка    |          |       |       |       |            |            |            |
 |2699006933|Филтър           |    377.00|   0.57|   1.90|   1.10|      215.90|      716.30|      414.70|
 |          |прахосмукачка    |          |       |       |       |            |            |            |
 |2699006228|Филтър           |     16.00|   0.74|   1.90|   1.10|       11.86|       30.40|       17.60|
 |          |прахосмукачка    |          |       |       |       |            |            |            |
 |6120300781|Шлаух силиконов  |      1.00|   0.32|   0.90|   0.50|        0.32|        0.90|        0.50|
 |          |къс              |          |       |       |       |            |            |            |
 |2882000001|Шнур             |      4.00|   0.04|   0.30|   0.15|        0.16|        1.20|        0.60|
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Общо за: РЧ УРЕДИ ROTEL     |    877.00|       |       |       |     1123.82|     3288.92|     1522.70|
 Група стоки  : УРЕДИ                         
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Катал. Nо | Артикул         | Колич-во |Ц прид.|П.ц+ДДС|П.ц-ДДС| Ст-ст прид.| Прод.ст+ДДС| Прод.ст-ДДС|
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |1018      |Бойлер 10л 1.5kw |      1.00|  65.17|  99.00|  71.50|       65.17|       99.00|       71.50|
 |          |TERMOMAX под     |          |       |       |       |            |            |            |
 |          |мивка            |          |       |       |       |            |            |            |
 |1010      |Бойлер 10л 1.5kw |      1.00| 105.30| 113.75| 113.75|      105.30|      113.75|      113.75|
 |          |над мивка        |          |       |       |       |            |            |            |
 |1017      |Бойлер 10л DPL   |      3.00|   0.03|   0.00|   0.00|        0.07|        0.00|        0.00|
 |          |презент.         |          |       |       |       |            |            |            |
 |1014      |Бойлер 10л TESY  |      1.00|  88.15| 134.90| 102.00|       88.15|      134.90|      102.00|
 |          |над мивка        |          |       |       |       |            |            |            |
 |1014      |Бойлер 10л TESY  |      1.00|  99.08| 134.90| 102.00|       99.08|      134.90|      102.00|
 |          |над мивка        |          |       |       |       |            |            |            |
 |1015      |Бойлер 10л TESY  |      1.00|  88.15| 134.90| 102.00|       88.15|      134.90|      102.00|
 |          |под мивка        |          |       |       |       |            |            |            |
 |1193      |Бойлер 50л 1.5kw |      1.00| 114.08| 169.90| 132.50|      114.08|      169.90|      132.50|
 |          |Баланс           |          |       |       |       |            |            |            |
 |1054      |Бойлер 50л 2kw   |      1.00| 205.00| 255.50| 255.50|      205.00|      255.50|      255.50|
 |          |inox             |          |       |       |       |            |            |            |
 |1041      |Бойлер 50л TESY  |      1.00| 122.32| 188.90| 142.50|      122.32|      188.90|      142.50|
 |          |36 2kw TS        |          |       |       |       |            |            |            |
 |1117      |Бойлер 80л DPL   |      3.00|   0.03|   0.00|   0.00|        0.07|        0.00|        0.00|
 |          |презент.         |          |       |       |       |            |            |            |
