                        С П Р А В К А    Т Е К У Щ И    Н А Л И Ч Н О С Т И                         
                                       Към дата : 20.03.2013        

 Обект        : СКЛАД СЕЛЕКТ                                      
 Група стоки  : РЧ УРЕДИ ROTEL                
 +----------+-----------------------------------+------------+----------+----------+----------+------------+------------+------------+
 |Катал. Nо | Артикул                           | Количество |Цена прид.|Прод.ц+ДДС|Прод.ц-ДДС| Ст-ст прид.| Прод.ст+ДДС| Прод.ст-ДДС|
 |2699006933|Филтър прахосмукачка               |       65.00|      0.37|      1.10|      1.90|       24.15|       71.50|      123.50|
 |2699006933|Филтър прахосмукачка               |      488.00|      0.57|      1.10|      1.90|      279.47|      536.80|      927.20|
 |2882000001|Шнур                               |        4.00|      0.04|      0.15|      0.30|        0.16|        0.60|        1.20|
 |2882000013|Дръжка дясна                       |        2.00|      6.57|      7.00|      9.90|       13.14|       14.00|       19.80|
 |2882000016|Ел. вентил                         |       12.00|      6.66|      7.00|      8.90|       79.92|       84.00|      106.80|
 |2932000009|МТЗ 184 С                          |        4.00|      0.01|      0.10|      1.20|        0.04|        0.40|        4.80|
 |2932000012|Копче терморегулатор               |       12.00|      0.10|      0.15|      0.30|        1.20|        1.80|        3.60|
 |2932000039|Копче пара                         |        6.00|      0.09|      0.15|      0.30|        0.54|        0.90|        1.80|
 |6120240321|Пусково копче                      |        2.00|      1.15|      1.40|      1.90|        2.30|        2.80|        3.80|
 |6120240361|Мотор                              |        1.00|      0.80|      2.50|      9.90|        0.80|        2.50|        9.90|
 |6120300181|Вана за вода                       |        3.00|      0.49|      0.75|      4.15|        1.47|        2.25|       12.45|
 |6120300371|Вентил щанга                       |        4.00|      0.51|      0.75|      1.25|        2.04|        3.00|        5.00|
 |6120300601|Капак за кана                      |        2.00|      0.04|      0.15|      0.30|        0.08|        0.30|        0.60|
 |6120300781|Шлаух силиконов къс                |        1.00|      0.32|      0.50|      0.90|        0.32|        0.50|        0.90|
 |6120300791|Шлаух силиконов дълъг              |       10.00|      3.16|      3.25|      4.50|       31.60|       32.50|       45.00|
 |6120301111|Нагревател кпл.                    |        1.00|     44.69|     48.00|     66.90|       44.69|       48.00|       66.90|
 |6120301391|Помпа                              |        3.00|      0.68|      0.00|     37.90|        2.03|        0.00|      113.70|
 |6127170111|Бъркалки U31.3                     |        5.00|      2.65|      2.75|      3.70|       13.26|       13.75|       18.50|
 |6127170111|Бъркалки U31.3                     |       11.00|      0.89|      2.75|      3.70|        9.77|       30.25|       40.70|
 |9611121006|Пружина                            |       15.00|      0.28|      0.35|      0.60|        4.20|        5.25|        9.00|
 |9611515023|Уплътнител за глава                |        4.00|      0.06|      0.25|      0.65|        0.24|        1.00|        2.60|
 |9612932005|Нипел                              |        7.00|      0.17|      0.25|      0.50|        1.19|        1.75|        3.50|
 |9615001013|Уплътнител малък                   |        2.00|      0.08|      0.15|      0.30|        0.16|        0.30|        0.60|
 |9673205003|МТЗ 152 С                          |        5.00|      0.26|      0.50|      0.90|        1.31|        2.50|        4.50|
 |9673601006|Термостат 95-120 С                 |        1.00|      1.36|      4.90|      6.90|        1.36|        4.90|        6.90|
